鹿／島／建／設㈱,太子東芝汚染土掘削他工事-2,H18.6,H18.11
鹿／島／建／設㈱,東芝太子防塵対策工事,H19.3,H19.5
鹿島建設㈱他JV,山電姫路工事,H16.2,H19.3
鹿島建設㈱他JV,大阪ガス姫路試験掘削,H18.2,H18.4
鹿島建設㈱他JV,山電姫路RA1他工事ー2,H18.6,H19.6
鹿島建設㈱他JV,山電姫路工事その5,H18.8,H19.6
セイコウ建設㈱,手柄地区散策道整備工事,H17.10,H18.3
セイコウ建設㈱,林田西準幹線（1工区）及び六九谷地内（その4）下水道工事2,H18.1,H18.9
セイコウ建設㈱,JR山陽本線等山陽電鉄既設構造物撤去工事（南工区）,H18.3,H19.3
セイコウ建設㈱,四ツ池川築造（その1）工事,H18.5,H18.10
セイコウ建設㈱,英賀保駅周辺遺跡第4地点発掘調査工事,H18.6,H18.9
セイコウ建設㈱,林田西準幹線（5工区）及び六九谷地内（その4）下水道工事2,H18.8,H19.1
セイコウ建設㈱,英賀保駅周辺遺跡第4地点（その2）発掘調査工事,H18.10,H19.3
松本様,兼田ブロック積擁壁工事,H17.11,H17.12
建／／翔㈱,"散策道（手柄地区）整備（その1,2）追加工事",H17.11,H18.7
松村様,北原ブロック積擁壁工事,H17.12,H18.3
松村様,北原擁壁工事,H17.12,H18.3
臨海建設工業㈱,常磐川橋梁架け替え工事,H18.1,H18.3
二和防災設備㈱,別所受水槽基礎工事,H18.6,H18.6
㈱新／栄／開／発,太子支線（第9工区）送水管布設工事,H18.6,H18.11
東建コーポレーション㈱,ダイネン㈱店舗マンション新築工事,H18.7,H18.8
島原様,西蒲田島原造成工事,H19.4,H19.5
姫路市,手柄山中央公園整備工事その3-1,H18.2,H18.8
姫路市,手柄山中央公園回廊展望台改修工事,H18.7,H18.8
姫路市,北平野地内（その1）及び北平野準幹線下水道工事,H18.8,H19.6
姫路市,白鳥台幹線（第5工区）下水道工事,H18.11,H19.5
姫路市,飯田手柄地区発掘調査工事委託,H18.12,H19.3
姫路市水道局,北平野地内（その1）及び北平野準幹線配水管仮設工事,H18.11,H19.2
姫路市水道局,白鳥台幹線（第5工区）配水管移設工事,H18.12,H19.3
姫路市公園建設課,手柄山中央公園緊急防護柵設置工事,H18.6,H18.7
,,,
鹿／島／建／設㈱,㈲マルイ駐車場改修工事,H18.7,H18.8
鹿／島／建／設㈱,山電・ホーム上屋補修工事,H18.12,H18.12
鹿／島／建／設㈱,的形駅周辺整備工,H18.12,H18.12
鹿／島／建／設㈱,姫路地下駐車場補修工事,H19.2,H19.3
宗教法人誓福寺,誓福寺山門ー手先及びその他新築工事,H15.6,H19.6
香山様,フレイグランス田寺壁改修工事,H18.7,H18.8
井／内／金／物㈲,文化センター展示室防火シャッター修理,H18.12,H18.12
姫路市,手柄山温室植物園ブラインド取替え工事,H19.3,H19.3
姫路市,城南153号線安全施設設置他工事,H19.3,H19.3
㈶姫路市文化振興財団,文化センター樋改修工事,H18.6,H18.6
㈶姫路市文化振興財団,文化センター搬入口樋工事,H19.2,H19.2
㈶姫路市緑化協会,緑の相談所間仕切り撤去他工事,H19.3,H19.4
